date, temp (C), RH (%), epoch time (s)
2018-04-10_115027,22.73,25.44,1523379027.832277
2018-04-10_115037,22.69,25.43,1523379037.8322911
2018-04-10_115047,22.71,25.44,1523379047.8323052
2018-04-10_115057,22.70,25.44,1523379057.832319
2018-04-10_115107,22.71,25.44,1523379067.832333
2018-04-10_115117,22.71,25.44,1523379077.8323472
2018-04-10_115127,22.71,25.44,1523379087.8323612
2018-04-10_115137,22.73,25.44,1523379097.832375
2018-04-10_115147,22.73,25.46,1523379107.832389
2018-04-10_115157,22.70,25.47,1523379117.8324032
2018-04-10_115207,22.71,25.46,1523379127.832417
2018-04-10_115217,22.73,25.46,1523379137.832431
2018-04-10_115227,22.74,25.44,1523379147.8324451
2018-04-10_115237,22.73,25.44,1523379157.832459
2018-04-10_115247,22.73,25.44,1523379167.832473
2018-04-10_115257,22.76,25.47,1523379177.832487
2018-04-10_115307,22.74,25.49,1523379187.832501
2018-04-10_115317,22.73,25.48,1523379197.832515
2018-04-10_115327,22.74,25.46,1523379207.832529
2018-04-10_115337,22.76,25.53,1523379217.832543
2018-04-10_115347,22.76,25.44,1523379227.832557
2018-04-10_115357,22.74,25.49,1523379237.832571
2018-04-10_115407,22.74,25.47,1523379247.8325853
2018-04-10_115417,22.76,25.53,1523379257.832599
2018-04-10_115427,22.74,25.53,1523379267.8326132
2018-04-10_115437,22.76,25.56,1523379277.8326273
2018-04-10_115447,22.76,25.52,1523379287.8326411
2018-04-10_115457,22.76,25.50,1523379297.8326552
2018-04-10_115507,22.76,25.52,1523379307.8326693
2018-04-10_115517,22.77,25.58,1523379317.832683
2018-04-10_115527,22.77,25.56,1523379327.8326972
2018-04-10_115537,22.76,25.56,1523379337.8327112
2018-04-10_115547,22.78,25.59,1523379347.832725
2018-04-10_115557,22.78,25.55,1523379357.832739
2018-04-10_115607,22.77,25.55,1523379367.8327532
2018-04-10_115617,22.77,25.60,1523379377.832767
2018-04-10_115627,22.81,25.60,1523379387.832781
2018-04-10_115637,22.78,25.60,1523379397.8327951
2018-04-10_115647,22.80,25.60,1523379407.8328092
2018-04-10_115657,22.81,25.60,1523379417.832823
2018-04-10_115707,22.81,25.60,1523379427.832837
2018-04-10_115717,22.81,25.60,1523379437.8328512
2018-04-10_115727,22.80,25.65,1523379447.832865
2018-04-10_115737,22.81,25.66,1523379457.832879
2018-04-10_115747,22.83,25.65,1523379467.8328931
2018-04-10_115757,22.83,25.62,1523379477.832907
2018-04-10_115807,22.83,25.66,1523379487.832921
2018-04-10_115817,22.81,25.68,1523379497.832935
2018-04-10_115827,22.84,25.67,1523379507.832949
2018-04-10_115837,22.84,25.67,1523379517.832963
2018-04-10_115847,22.86,25.64,1523379527.832977
2018-04-10_115857,22.86,25.65,1523379537.832991
2018-04-10_115907,22.83,25.66,1523379547.833005
2018-04-10_115917,22.83,25.69,1523379557.833019
2018-04-10_115927,22.84,25.74,1523379567.8330333
2018-04-10_115937,22.84,25.78,1523379577.8330472
2018-04-10_115947,22.84,25.74,1523379587.8330612
2018-04-10_115957,22.87,25.76,1523379597.8330753
2018-04-10_120007,22.87,25.75,1523379607.833089
2018-04-10_120017,22.87,25.74,1523379617.8331032
2018-04-10_120027,22.86,25.74,1523379627.8331172
2018-04-10_120037,22.87,25.74,1523379637.833131
2018-04-10_120047,22.88,25.78,1523379647.8331451
2018-04-10_120057,22.88,25.74,1523379657.8331592
2018-04-10_120107,22.88,25.80,1523379667.833173
2018-04-10_120117,22.88,25.81,1523379677.833187
2018-04-10_120127,22.87,25.80,1523379687.8332012
