date, temp (C), RH (%), epoch time (s)
2018-03-06_111641,24.44,25.14,1520356601.972725
2018-03-06_111651,24.42,25.21,1520356611.972739
2018-03-06_111701,24.44,25.25,1520356621.972753
2018-03-06_111711,24.42,25.20,1520356631.972767
2018-03-06_111721,24.41,25.28,1520356641.972781
2018-03-06_111731,24.39,25.22,1520356651.972795
2018-03-06_111741,24.41,25.29,1520356661.972809
2018-03-06_111751,24.42,25.29,1520356671.972823
2018-03-06_111801,24.41,25.29,1520356681.972837
2018-03-06_111811,24.42,25.34,1520356691.972851
2018-03-06_111821,24.42,25.35,1520356701.972865
2018-03-06_111831,24.42,25.36,1520356711.972879
2018-03-06_111841,24.39,25.39,1520356721.972893
2018-03-06_111851,24.41,25.38,1520356731.972907
2018-03-06_111901,24.42,25.38,1520356741.972921
2018-03-06_111911,24.42,25.37,1520356751.972935
2018-03-06_111921,24.45,25.42,1520356761.972949
2018-03-06_111931,24.42,25.44,1520356771.972963
2018-03-06_111941,24.44,25.50,1520356781.972977
2018-03-06_111951,24.42,25.47,1520356791.972991
2018-03-06_112001,24.44,25.47,1520356801.973005
2018-03-06_112011,24.41,25.47,1520356811.973019
2018-03-06_112021,24.42,25.56,1520356821.973033
2018-03-06_112031,24.42,25.54,1520356831.973047
2018-03-06_112041,24.42,25.57,1520356841.973061
2018-03-06_112051,24.41,25.59,1520356851.973075
2018-03-06_112101,24.41,25.58,1520356861.973089
2018-03-06_112111,24.42,25.61,1520356871.973103
2018-03-06_112121,24.44,25.68,1520356881.973117
2018-03-06_112131,24.44,25.64,1520356891.973131
2018-03-06_112141,24.42,25.60,1520356901.973145
2018-03-06_112151,24.42,25.64,1520356911.973159
2018-03-06_112201,24.42,25.72,1520356921.973173
2018-03-06_112211,24.42,25.72,1520356931.973187
2018-03-06_112221,24.42,25.72,1520356941.973201
2018-03-06_112231,24.42,25.71,1520356951.973215
2018-03-06_112241,24.44,25.72,1520356961.973229
2018-03-06_112251,24.44,25.72,1520356971.973243
2018-03-06_112301,24.44,25.75,1520356981.973257
2018-03-06_112311,24.42,25.77,1520356991.973271
2018-03-06_112321,24.41,25.77,1520357001.973285
2018-03-06_112331,24.42,25.79,1520357011.973299
2018-03-06_112341,24.44,25.79,1520357021.973313
2018-03-06_112351,24.44,25.82,1520357031.973327
2018-03-06_112401,24.42,25.82,1520357041.973341
2018-03-06_112411,24.41,25.83,1520357051.973355
2018-03-06_112421,24.45,25.84,1520357061.973369
2018-03-06_112431,24.42,25.85,1520357071.973383
2018-03-06_112441,24.41,25.87,1520357081.973397
2018-03-06_112451,24.42,25.85,1520357091.973411
2018-03-06_112501,24.41,25.84,1520357101.973425
2018-03-06_112511,24.41,25.91,1520357111.973439
2018-03-06_112521,24.42,25.88,1520357121.973453
2018-03-06_112531,24.41,25.87,1520357131.973467
2018-03-06_112541,24.42,25.86,1520357141.973481
2018-03-06_112551,24.41,25.89,1520357151.973495
2018-03-06_112601,24.41,25.94,1520357161.973509
2018-03-06_112611,24.41,25.93,1520357171.973523
2018-03-06_112621,24.44,25.90,1520357181.973537
2018-03-06_112631,24.39,25.94,1520357191.973551
2018-03-06_112641,24.39,25.90,1520357201.973565
2018-03-06_112651,24.41,25.90,1520357211.973579
2018-03-06_112701,24.39,25.91,1520357221.973593
2018-03-06_112711,24.41,25.88,1520357231.973607
2018-03-06_112721,24.41,25.94,1520357241.973621
2018-03-06_112731,24.41,25.94,1520357251.973635
2018-03-06_112741,24.42,25.88,1520357261.973649
2018-03-06_112751,24.39,25.91,1520357271.973663
2018-03-06_112801,24.39,25.90,1520357281.973677
2018-03-06_112811,24.39,25.88,1520357291.973691
2018-03-06_112821,24.39,25.94,1520357301.973705
2018-03-06_112831,24.41,25.85,1520357311.973719
2018-03-06_112841,24.41,25.91,1520357321.973733
2018-03-06_112851,24.41,25.84,1520357331.973747
2018-03-06_112901,24.41,25.86,1520357341.973761
2018-03-06_112911,24.39,25.80,1520357351.973775
2018-03-06_112921,24.39,25.83,1520357361.973789
2018-03-06_112931,24.39,25.87,1520357371.973803
2018-03-06_112941,24.42,25.84,1520357381.973817
2018-03-06_112951,24.41,25.85,1520357391.973831
2018-03-06_113001,24.42,25.80,1520357401.973845
2018-03-06_113011,24.42,25.83,1520357411.973859
2018-03-06_113021,24.39,25.80,1520357421.973873
2018-03-06_113031,24.41,25.80,1520357431.973887
2018-03-06_113041,24.39,25.76,1520357441.973901
2018-03-06_113051,24.38,25.79,1520357451.973915
2018-03-06_113101,24.42,25.79,1520357461.973929
2018-03-06_113111,24.41,25.75,1520357471.973943
2018-03-06_113121,24.41,25.77,1520357481.973957
2018-03-06_113131,24.39,25.77,1520357491.973971
2018-03-06_113141,24.41,25.72,1520357501.973985
2018-03-06_113151,24.41,25.73,1520357511.973999
2018-03-06_113201,24.41,25.71,1520357521.974013
2018-03-06_113211,24.41,25.72,1520357531.974027
